causa_de_muerte,sexo,periodo,muertes,poblacion,tasa_mortalidad
001-102  I-XXII.Todas las causas,Hombres,1980,99071,1703406,5816.053248608963
001-102  I-XXII.Todas las causas,Hombres,1981,101371,1731649,5854.015450013253
001-102  I-XXII.Todas las causas,Hombres,1982,99509,1763122,5643.9089297280625
001-102  I-XXII.Todas las causas,Hombres,1983,105461,1786792,5902.253871743325
001-102  I-XXII.Todas las causas,Hombres,1984,105095,1816834,5784.51305953103
001-102  I-XXII.Todas las causas,Hombres,1985,110715,1854679,5969.496608307961
001-102  I-XXII.Todas las causas,Hombres,1986,109126,1906263,5724.603583031303
001-102  I-XXII.Todas las causas,Hombres,1987,109911,1973492,5569.3663820273905
001-102  I-XXII.Todas las causas,Hombres,1988,114040,2039771,5590.823675794979
001-102  I-XXII.Todas las causas,Hombres,1989,116822,2102863,5555.378548198337
001-102  I-XXII.Todas las causas,Hombres,1990,121321,2165697,5601.9378518786325
001-102  I-XXII.Todas las causas,Hombres,1991,123243,2229548,5527.712343488455
001-102  I-XXII.Todas las causas,Hombres,1992,121784,2294607,5307.401223826128
001-102  I-XXII.Todas las causas,Hombres,1993,126576,2361074,5360.950143875202
001-102  I-XXII.Todas las causas,Hombres,1994,126907,2430501,5221.43377023914
001-102  I-XXII.Todas las causas,Hombres,1995,131222,2501907,5244.879206141555
001-102  I-XXII.Todas las causas,Hombres,1996,134496,2573444,5226.303739269244
001-102  I-XXII.Todas las causas,Hombres,1997,136244,2643616,5153.698570442909
001-102  I-XXII.Todas las causas,Hombres,1998,142613,2715352,5252.09991190829
001-102  I-XXII.Todas las causas,Hombres,1999,147626,2776465,5317.048837280499
001-102  I-XXII.Todas las causas,Hombres,2000,142842,2836940,5035.073001191425
001-102  I-XXII.Todas las causas,Hombres,2001,143828,2903761,4953.162467572228
001-102  I-XXII.Todas las causas,Hombres,2002,147482,2960774,4981.197484171369
001-102  I-XXII.Todas las causas,Hombres,2003,153380,3001136,5110.7314030420475
001-102  I-XXII.Todas las causas,Hombres,2004,148981,3015259,4940.902257484349
001-102  I-XXII.Todas las causas,Hombres,2005,155460,3049867,5097.271454788029
001-102  I-XXII.Todas las causas,Hombres,2006,148495,3112155,4771.452578679404
001-102  I-XXII.Todas las causas,Hombres,2007,155005,3154365,4913.984272587351
001-102  I-XXII.Todas las causas,Hombres,2008,154148,3214073,4796.032946358095
001-102  I-XXII.Todas las causas,Hombres,2009,155227,3285475,4724.644077340415
001-102  I-XXII.Todas las causas,Hombres,2010,155235,3364111,4614.443459208093
001-102  I-XXII.Todas las causas,Hombres,2011,157663,3439265,4584.206218479821
001-102  I-XXII.Todas las causas,Hombres,2012,164164,3498769,4692.05026110612
001-102  I-XXII.Todas las causas,Hombres,2013,159581,3574425,4464.522265818978
001-102  I-XXII.Todas las causas,Hombres,2014,161949,3647967,4439.43160670039
001-102  I-XXII.Todas las causas,Hombres,2015,173380,3702295,4683.041194718411
001-102  I-XXII.Todas las causas,Hombres,2016,169317,3759232,4504.031674554803
001-102  I-XXII.Todas las causas,Hombres,2017,174972,3817681,4583.2011632192425
001-102  I-XXII.Todas las causas,Hombres,2018,176506,3881154,4547.771101069424
001-102  I-XXII.Todas las causas,Hombres,2019,173469,3952736,4388.580466795657
001-102  I-XXII.Todas las causas,Hombres,2020,206996,4007280,5165.498792198199
001-102  I-XXII.Todas las causas,Hombres,2021,189212,4073128,4645.373285592792
001-102  I-XXII.Todas las causas,Mujeres,1980,109357,2475332,4417.872026863468
001-102  I-XXII.Todas las causas,Mujeres,1981,111680,2528137,4417.48212221094
001-102  I-XXII.Todas las causas,Mujeres,1982,109751,2584400,4246.672341742765
001-102  I-XXII.Todas las causas,Mujeres,1983,118118,2629964,4491.2401842762865
001-102  I-XXII.Todas las causas,Mujeres,1984,115400,2681698,4303.243691124057
001-102  I-XXII.Todas las causas,Mujeres,1985,122855,2739126,4485.189801418409
001-102  I-XXII.Todas las causas,Mujeres,1986,122610,2801065,4377.263647933911
001-102  I-XXII.Todas las causas,Mujeres,1987,121307,2878551,4214.168864821225
001-102  I-XXII.Todas las causas,Mujeres,1988,125997,2958475,4258.849576217477
001-102  I-XXII.Todas las causas,Mujeres,1989,128363,3032296,4233.194912370032
001-102  I-XXII.Todas las causas,Mujeres,1990,132478,3109970,4259.7838564359145
001-102  I-XXII.Todas las causas,Mujeres,1991,134771,3186139,4229.915895069236
001-102  I-XXII.Todas las causas,Mujeres,1992,131746,3262630,4038.0306685097607
001-102  I-XXII.Todas las causas,Mujeres,1993,136716,3343367,4089.1711858135823
001-102  I-XXII.Todas las causas,Mujeres,1994,136410,3427229,3980.183407645068
001-102  I-XXII.Todas las causas,Mujeres,1995,140154,3513749,3988.7311245054784
001-102  I-XXII.Todas las causas,Mujeres,1996,143322,3597952,3983.4327973247
001-102  I-XXII.Todas las causas,Mujeres,1997,144249,3680634,3919.1345838787556
001-102  I-XXII.Todas las causas,Mujeres,1998,150890,3767437,4005.1101053580987
001-102  I-XXII.Todas las causas,Mujeres,1999,156453,3840517,4073.748404186207
001-102  I-XXII.Todas las causas,Mujeres,2000,151929,3912891,3882.7812990446196
001-102  I-XXII.Todas las causas,Mujeres,2001,151647,3994792,3796.1175450436467
001-102  I-XXII.Todas las causas,Mujeres,2002,156594,4065821,3851.4730481248434
001-102  I-XXII.Todas las causas,Mujeres,2003,165554,4118108,4020.1471161028317
001-102  I-XXII.Todas las causas,Mujeres,2004,157984,4139000,3816.9606185068856
001-102  I-XXII.Todas las causas,Mujeres,2005,166454,4180461,3981.7139784344354
001-102  I-XXII.Todas las causas,Mujeres,2006,158327,4250166,3725.1956747101176
001-102  I-XXII.Todas las causas,Mujeres,2007,164585,4297068,3830.169780883151
001-102  I-XXII.Todas las causas,Mujeres,2008,166838,4363318,3823.649800450025
001-102  I-XXII.Todas las causas,Mujeres,2009,166284,4441642,3743.7506219546735
001-102  I-XXII.Todas las causas,Mujeres,2010,164733,4528679,3637.550817799186
001-102  I-XXII.Todas las causas,Mujeres,2011,168492,4612933,3652.600200349756
001-102  I-XXII.Todas las causas,Mujeres,2012,177736,4675622,3801.3338118436436
001-102  I-XXII.Todas las causas,Mujeres,2013,171354,4758563,3600.9610464335556
001-102  I-XXII.Todas las causas,Mujeres,2014,175151,4839814,3618.9613898385355
001-102  I-XXII.Todas las causas,Mujeres,2015,189838,4897557,3876.177449287471
001-102  I-XXII.Todas las causas,Mujeres,2016,182347,4960687,3675.841672736054
001-102  I-XXII.Todas las causas,Mujeres,2017,190555,5022684,3793.887889423265
001-102  I-XXII.Todas las causas,Mujeres,2018,191496,5091496,3761.094970908354
001-102  I-XXII.Todas las causas,Mujeres,2019,186267,5173068,3600.706582631429
001-102  I-XXII.Todas las causas,Mujeres,2020,222600,5236250,4251.13392217713
001-102  I-XXII.Todas las causas,Mujeres,2021,198350,5313145,3733.193805175654
